parameters,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"thetas[20,16]",-3.31858,0.0531213,2.57663,2.57415,-7.57054,-3.33315,0.913197,2357.09,2002.96,1.002
"thetas[20,17]",-2.41318,0.0538116,2.57746,2.53421,-6.60646,-2.45414,1.8229,2318.31,2473.84,1.00013
"thetas[20,18]",-5.22739,0.0504987,2.56933,2.58892,-9.56594,-5.20209,-1.10916,2595.91,2920.79,1.00024
"thetas[20,19]",-7.04252,0.0470422,2.60261,2.6693,-11.2726,-7.05406,-2.77284,3108.67,2772.34,1.00003
"thetas[20,20]",-7.78579,0.0492297,2.56626,2.48604,-11.8791,-7.79068,-3.54302,2760.22,2939.22,1.00136
"thetas[20,21]",0.177622,0.0517876,2.60043,2.56531,-4.04699,0.196156,4.4753,2597.45,2533.14,1.00123
"thetas[20,22]",-1.23731,0.0518363,2.51516,2.46022,-5.49698,-1.1822,2.81022,2370.5,2601.63,1.00476
"thetas[20,23]",0.974708,0.0506303,2.60021,2.51713,-3.37487,0.984924,5.27471,2643.99,2488.9,1.00233
"thetas[20,24]",3.1665,0.0507959,2.56034,2.52433,-1.13592,3.18046,7.27949,2516.15,2659.32,1.00304
"thetas[20,25]",-0.776378,0.047638,2.71594,2.77833,-5.15271,-0.804404,3.78421,3276.03,2943.46,1.00135
"thetas[21,1]",0.273112,0.0577524,2.78623,2.80555,-4.33573,0.29074,4.77065,2423.31,2794.78,1.00025
"thetas[21,2]",-3.24136,0.0607992,2.60696,2.66805,-7.51776,-3.21422,0.96391,1868.27,2845.81,1.00148
"thetas[21,3]",-2.33217,0.0564131,2.64473,2.68697,-6.66939,-2.31865,1.95667,2260.63,2599.95,1.00074
"thetas[21,4]",0.834857,0.0573226,2.65489,2.75735,-3.5692,0.835592,5.06833,2237.23,2681.43,1.00123
"thetas[21,5]",-0.57814,0.0493646,2.5759,2.53654,-4.73189,-0.645556,3.70479,2770.13,3039.61,1.00029
"thetas[21,6]",-2.23612,0.0475558,2.60801,2.60719,-6.59654,-2.20347,1.96956,3053.95,2856.82,1.0003
"thetas[21,7]",-2.25161,0.0513828,2.56441,2.59022,-6.33882,-2.33589,2.08299,2578.29,2918.9,1.0009
"thetas[21,8]",1.75057,0.0505388,2.52076,2.52653,-2.39828,1.80013,5.99188,2532.04,3324.86,1.00156
"thetas[21,9]",3.24036,0.0488376,2.53639,2.50788,-0.880613,3.18778,7.44857,2727.1,2791.42,1.00049
"thetas[21,10]",5.04392,0.0561083,2.56633,2.52808,0.820339,5.04416,9.26677,2110.07,2808.76,1.00427
"thetas[21,11]",-0.860842,0.0524578,2.58678,2.59724,-5.18631,-0.821853,3.33339,2405.17,2684.85,1.00393
"thetas[21,12]",-3.35821,0.0546707,2.66751,2.66823,-7.78695,-3.31056,0.973222,2396.33,2718.94,1.00039
"thetas[21,13]",0.0149217,0.053204,2.6866,2.62516,-4.49788,-0.0308073,4.47606,2580.7,2260.58,1.00267
"thetas[21,14]",-2.77803,0.0565211,2.64866,2.63277,-7.13168,-2.7729,1.55339,2217.76,2627.0,1.00097
"thetas[21,15]",-0.70396,0.0531087,2.58695,2.63507,-5.00796,-0.666218,3.58021,2415.99,2972.0,1.00245
"thetas[21,16]",2.88687,0.0504837,2.51616,2.5537,-1.25898,2.89368,7.02387,2534.47,3132.26,1.00261
"thetas[21,17]",2.19833,0.0529024,2.6222,2.61771,-2.19759,2.15686,6.45064,2479.28,2319.46,1.00252
"thetas[21,18]",5.7059,0.0535387,2.62939,2.59458,1.25045,5.69588,10.0497,2501.06,2989.54,1.00115
"thetas[21,19]",2.64056,0.0574445,2.64618,2.66771,-1.7521,2.63987,6.94503,2213.48,2481.42,1.00111
"thetas[21,20]",3.54366,0.0583636,2.63005,2.66703,-0.71647,3.51764,7.93171,2071.14,2868.13,1.00195
"thetas[21,21]",-0.839102,0.0506113,2.59688,2.65411,-5.16708,-0.825066,3.41161,2661.52,2805.63,1.00051
"thetas[21,22]",0.0303408,0.0467003,2.53321,2.46053,-4.10475,0.0484714,4.32424,2973.05,3008.98,1.001
"thetas[21,23]",-0.0918003,0.0481774,2.4838,2.49745,-4.11931,-0.135055,4.03865,2739.7,2637.06,1.00117
"thetas[21,24]",0.677733,0.0507927,2.59218,2.66469,-3.48283,0.696387,4.92553,2659.52,2843.16,1.00138
"thetas[21,25]",3.85311,0.0480566,2.62678,2.66155,-0.487087,3.84015,8.18691,3064.09,3090.51,1.00092
"thetas[22,1]",-1.36269,0.0530263,2.84033,2.89388,-5.97223,-1.39779,3.36117,2915.09,2992.97,1.00135
"thetas[22,2]",3.5186,0.0532575,2.72424,2.71062,-1.00136,3.54024,8.05783,2671.43,2934.66,1.00055
"thetas[22,3]",3.86765,0.0575723,2.63279,2.58846,-0.60509,3.94846,8.07139,2097.77,2457.66,1.00005
"thetas[22,4]",6.63057,0.0522495,2.56914,2.56539,2.39734,6.68309,10.877,2436.36,2601.99,0.999667
"thetas[22,5]",8.96202,0.0526162,2.58093,2.61274,4.74866,8.96584,13.1857,2434.99,2288.84,1.00049
"thetas[22,6]",5.63962,0.051327,2.51907,2.49711,1.52109,5.61176,9.79255,2481.26,2673.54,1.00111
"thetas[22,7]",9.25169,0.0552721,2.54445,2.54673,5.18897,9.23061,13.3957,2165.02,2748.64,1.00308
"thetas[22,8]",14.6237,0.0505531,2.5896,2.60901,10.2888,14.6372,18.7891,2627.7,2786.69,1.00163
"thetas[22,9]",7.46871,0.0519813,2.58818,2.53582,3.20842,7.41362,11.789,2516.85,2539.44,1.00262
"thetas[22,10]",9.37267,0.0507865,2.60731,2.60302,5.12205,9.39658,13.6349,2691.94,2422.61,1.00306
"thetas[22,11]",11.6125,0.0512221,2.55943,2.51734,7.43168,11.6146,15.8666,2522.37,2554.51,1.0018
"thetas[22,12]",9.83471,0.0514168,2.61373,2.62091,5.52476,9.84051,14.2297,2591.7,2571.33,1.00082
"thetas[22,13]",10.6866,0.0538141,2.64768,2.70961,6.42736,10.6976,15.0268,2562.44,2620.63,1.00058
"thetas[22,14]",7.40395,0.0634167,2.53509,2.46369,3.24356,7.38788,11.5515,1644.6,2854.45,1.00103
"thetas[22,15]",8.74906,0.0595416,2.69147,2.65774,4.35688,8.70066,13.1856,2107.21,2617.89,1.0026
"thetas[22,16]",8.30749,0.0519786,2.5451,2.53433,4.02829,8.33312,12.4842,2525.31,2871.74,1.00296
"thetas[22,17]",9.18077,0.0519226,2.57947,2.60191,4.92394,9.21422,13.4255,2494.73,2818.76,1.00172
"thetas[22,18]",8.25159,0.0525774,2.54271,2.55512,4.23018,8.19903,12.5351,2432.89,2598.69,1.00258
"thetas[22,19]",6.37852,0.0514239,2.58065,2.54648,2.16609,6.3745,10.5775,2584.56,2698.9,1.00093
"thetas[22,20]",7.64239,0.0532467,2.63833,2.62935,3.38086,7.57884,12.0471,2547.32,2679.97,1.00271
"thetas[22,21]",2.01359,0.0540753,2.62064,2.6273,-2.29512,2.07019,6.16317,2402.25,2637.39,1.00349
"thetas[22,22]",5.39224,0.0488283,2.55474,2.58307,1.14958,5.44191,9.58565,2809.72,2970.88,1.00245
"thetas[22,23]",0.919132,0.0512559,2.59071,2.53919,-3.37052,0.919939,5.07927,2554.74,2676.66,1.00337
"thetas[22,24]",-5.07502,0.0497723,2.54449,2.48418,-9.31661,-5.05431,-0.93257,2650.57,2687.15,1.00077
"thetas[22,25]",-6.10946,0.0479052,2.68317,2.68285,-10.5077,-6.08114,-1.63603,3183.77,2660.52,1.00125
"thetas[23,1]",0.748577,0.0523143,2.76066,2.73761,-3.79965,0.778307,5.23517,2827.16,2768.19,1.00235
"thetas[23,2]",-2.16486,0.0496834,2.59345,2.56355,-6.41424,-2.16234,2.11309,2753.7,2211.11,0.999914
"thetas[23,3]",0.678253,0.0566629,2.6462,2.6024,-3.64497,0.696751,5.09243,2168.99,2595.32,1.00341
"thetas[23,4]",-0.48814,0.0609139,2.59117,2.61419,-4.73298,-0.493716,3.79323,1833.5,2715.12,1.00032
"thetas[23,5]",-3.84495,0.0574388,2.51574,2.53619,-7.97045,-3.81061,0.252482,1869.59,2797.91,1.00287
"thetas[23,6]",-6.27992,0.0524189,2.55397,2.52634,-10.5001,-6.29698,-2.10918,2413.21,3020.36,1.00288
"thetas[23,7]",1.37075,0.0524362,2.62186,2.68342,-2.96808,1.40476,5.59647,2562.08,2535.88,1.00119
"thetas[23,8]",0.107272,0.0504712,2.68092,2.6834,-4.30185,0.0826573,4.51627,2853.05,2644.45,1.00103
"thetas[23,9]",3.4819,0.0503761,2.59974,2.60293,-0.880504,3.54134,7.77797,2741.71,2919.69,1.00144
"thetas[23,10]",7.32554,0.0520029,2.57621,2.54613,3.06547,7.31794,11.5562,2486.52,2994.44,1.00191
"thetas[23,11]",5.09456,0.0495015,2.64008,2.61749,0.823043,5.07642,9.59275,2916.28,2592.94,1.00107
"thetas[23,12]",8.22994,0.0523546,2.68808,2.6509,3.8341,8.17535,12.7356,2668.27,2507.89,1.00196
"thetas[23,13]",3.23823,0.0496543,2.66435,2.62689,-1.11373,3.19924,7.69475,2951.63,2970.51,1.0006
"thetas[23,14]",4.84694,0.0485035,2.55648,2.53567,0.616783,4.8484,9.10304,2823.79,2760.51,1.00177
"thetas[23,15]",-0.470878,0.0565079,2.57884,2.54758,-4.72944,-0.475481,3.77993,2099.46,2461.41,1.00159
"thetas[23,16]",-2.48928,0.0581631,2.58454,2.53165,-6.67252,-2.50957,1.68886,2048.52,2739.08,1.00337
"thetas[23,17]",1.76577,0.0605989,2.60321,2.58594,-2.46933,1.72891,6.04192,1924.38,2276.11,1.00092
"thetas[23,18]",6.56328,0.0485355,2.62015,2.66721,2.28127,6.58258,10.889,2850.61,2864.42,1.00198
"thetas[23,19]",8.11745,0.0502064,2.62082,2.65511,3.75818,8.15295,12.4114,2792.53,2746.05,1.00132
"thetas[23,20]",7.13386,0.0499936,2.61538,2.68477,2.85513,7.16055,11.48,2907.76,3062.47,1.00291
"thetas[23,21]",6.87844,0.0500926,2.55925,2.52438,2.69946,6.84594,11.1778,2659.03,2903.42,1.00106
"thetas[23,22]",2.55134,0.0564276,2.52967,2.58023,-1.59559,2.49497,6.70514,2051.98,2996.36,1.00173
"thetas[23,23]",0.10376,0.0555128,2.52287,2.55993,-3.96682,0.131597,4.18752,2110.13,2516.99,1.00186
"thetas[23,24]",0.937995,0.0478335,2.48679,2.42724,-3.12543,0.910713,5.09193,2751.92,2825.34,1.00045
"thetas[23,25]",-2.54514,0.0437947,2.66229,2.50867,-7.04743,-2.53782,1.84345,3709.94,2719.91,1.00122
"thetas[24,1]",2.0626,0.0540077,2.81903,2.81955,-2.58719,2.03263,6.64599,2784.91,2516.22,1.0011
"thetas[24,2]",-0.563691,0.0524807,2.64267,2.61164,-4.94151,-0.548752,3.79904,2612.92,2632.89,1.0009
"thetas[24,3]",-0.212139,0.0564372,2.58005,2.54846,-4.45156,-0.21463,4.02636,2173.79,2768.65,1.00022
"thetas[24,4]",-5.08268,0.0499745,2.59714,2.58343,-9.30232,-5.08322,-0.809918,2750.43,2755.21,1.00015
"thetas[24,5]",-2.26535,0.0488468,2.57899,2.5403,-6.51994,-2.25672,1.9866,2842.92,2819.2,1.00062
"thetas[24,6]",3.35934,0.0530328,2.65002,2.62592,-0.966548,3.28619,7.85729,2559.42,2508.4,1.00149
"thetas[24,7]",1.51854,0.0520992,2.61056,2.62221,-2.74609,1.5291,5.84244,2550.97,2592.06,1.00168
"thetas[24,8]",2.62269,0.0480754,2.57246,2.56171,-1.63357,2.65209,6.89477,2893.26,2806.05,1.00093
"thetas[24,9]",5.30229,0.0534086,2.62616,2.61247,0.959397,5.34536,9.67904,2496.78,2674.99,1.00255
"thetas[24,10]",1.12374,0.0532555,2.64873,2.72669,-3.21536,1.1518,5.34863,2506.25,3026.68,1.00149
"thetas[24,11]",1.94302,0.0517336,2.5943,2.54744,-2.32181,1.96808,6.1952,2580.32,2467.91,1.00366
"thetas[24,12]",1.5382,0.0523473,2.63734,2.6315,-2.67409,1.52909,5.87669,2553.12,2845.58,1.00162
"thetas[24,13]",3.18954,0.0488275,2.59153,2.54407,-0.978055,3.16031,7.46352,2840.36,2948.73,1.00082
"thetas[24,14]",-2.39385,0.0502846,2.64605,2.69421,-6.65932,-2.40979,2.0092,2804.96,2639.8,1.0012
"thetas[24,15]",-1.7271,0.0530644,2.62738,2.69574,-5.96272,-1.70782,2.53806,2419.54,2481.05,1.00261
"thetas[24,16]",-1.2569,0.0615956,2.60579,2.62094,-5.48347,-1.3164,2.94872,1831.3,2819.63,1.00569
"thetas[24,17]",-0.119357,0.0557787,2.6151,2.64796,-4.47805,-0.138624,4.12017,2289.35,2334.32,1.00268
"thetas[24,18]",-5.06965,0.051686,2.59511,2.53551,-9.21896,-5.10764,-0.860249,2607.11,3033.16,1.00243
"thetas[24,19]",-3.55413,0.0491776,2.54551,2.58769,-7.67804,-3.56238,0.58227,2701.1,2902.45,1.00168
"thetas[24,20]",-5.77477,0.0554518,2.58905,2.53528,-10.0821,-5.76656,-1.53972,2342.76,2611.05,1.00359
"thetas[24,21]",-4.65093,0.0544684,2.6757,2.74939,-9.02812,-4.66127,-0.192287,2486.0,2427.7,1.00152
"thetas[24,22]",-6.30562,0.0547594,2.51685,2.54227,-10.4153,-6.31328,-2.14947,2134.74,3033.46,1.0022
"thetas[24,23]",-2.76621,0.0532974,2.51732,2.47559,-6.84563,-2.76055,1.38716,2398.85,2568.49,1.00165
"thetas[24,24]",-5.97905,0.0484096,2.5474,2.61508,-10.0569,-6.01824,-1.75368,2831.43,2783.05,1.00037
"thetas[24,25]",-6.54986,0.0501295,2.72444,2.71706,-11.0118,-6.56598,-2.01165,3068.86,2812.71,1.0009
"thetas[25,1]",2.05951,0.0530165,2.71006,2.71799,-2.26541,2.05797,6.53795,2697.03,2514.33,1.00148
"thetas[25,2]",1.72272,0.0554615,2.62295,2.61647,-2.61785,1.717,6.05666,2268.2,2490.68,1.00001
"thetas[25,3]",1.85518,0.0557516,2.65173,2.60863,-2.42983,1.78775,6.33719,2290.45,2490.82,1.00232
"thetas[25,4]",0.80089,0.0538628,2.67867,2.64555,-3.66701,0.782538,5.13168,2499.63,2698.05,1.0019
"thetas[25,5]",2.47416,0.0500704,2.57507,2.63828,-1.63739,2.40709,6.78993,2698.71,2828.86,1.00126
"thetas[25,6]",-2.71406,0.0478939,2.5901,2.55303,-6.92099,-2.70889,1.61286,2979.71,2684.61,1.00179
"thetas[25,7]",-0.061996,0.0475515,2.60023,2.54656,-4.36226,-0.0300029,4.21812,3048.17,3042.86,1.00156
"thetas[25,8]",-1.81355,0.0497964,2.57077,2.57307,-6.05978,-1.84404,2.53965,2708.84,2969.01,1.00115
"thetas[25,9]",1.5277,0.0504763,2.62247,2.62075,-2.77008,1.46297,5.78486,2733.63,2727.98,1.00258
"thetas[25,10]",5.41699,0.0493353,2.60096,2.53631,1.11819,5.41449,9.82433,2809.63,2834.21,1.00347
"thetas[25,11]",4.17635,0.0468009,2.55504,2.59513,-0.0441913,4.11787,8.30967,3010.25,2499.24,1.00221
"thetas[25,12]",0.584513,0.0506312,2.56901,2.61909,-3.65786,0.623404,4.74193,2597.85,2971.21,1.00232
"thetas[25,13]",-3.91453,0.0515288,2.60039,2.61136,-8.17795,-3.90524,0.427476,2573.35,2760.23,1.00196
"thetas[25,14]",-4.83653,0.0557953,2.59388,2.6117,-9.06758,-4.87939,-0.530937,2255.29,2249.72,1.00093
"thetas[25,15]",-4.2364,0.0535558,2.6472,2.58165,-8.64836,-4.26037,0.155875,2516.75,2276.27,1.00151
"thetas[25,16]",-0.0105011,0.05311,2.66303,2.64791,-4.39106,-0.0984492,4.3279,2549.69,2404.16,1.00058
"thetas[25,17]",-5.23824,0.0488122,2.56581,2.5387,-9.38401,-5.25057,-0.89532,2792.46,2942.05,1.00111
"thetas[25,18]",-5.02463,0.0495154,2.61991,2.61133,-9.33517,-4.9903,-0.724746,2882.55,2919.13,1.0007
"thetas[25,19]",-6.38941,0.0485484,2.56558,2.57939,-10.6154,-6.34352,-2.15678,2999.74,2940.19,1.00148
"thetas[25,20]",-6.51282,0.0455552,2.5471,2.54081,-10.7206,-6.50462,-2.39089,3291.38,2468.94,1.00275
"thetas[25,21]",-9.35221,0.0538282,2.5865,2.65703,-13.563,-9.39555,-5.12482,2362.37,2728.32,1.00292
"thetas[25,22]",-8.3293,0.0496146,2.48816,2.48559,-12.3014,-8.34533,-4.21644,2533.48,3062.65,1.00249
"thetas[25,23]",-2.30572,0.0520983,2.56696,2.54811,-6.49684,-2.37224,1.9503,2472.5,2875.04,1.00141
"thetas[25,24]",-3.97339,0.0542039,2.5631,2.59533,-8.22039,-3.94651,0.251285,2257.62,2882.23,1.00156
"thetas[25,25]",-3.46006,0.0478069,2.65996,2.60233,-7.85176,-3.47161,1.00538,3130.32,2964.51,1.00104
"thetas[26,1]",4.23666,0.0580652,2.87418,2.91,-0.383013,4.17844,8.96965,2592.6,2847.05,0.999875
"thetas[26,2]",6.63574,0.0609965,2.57604,2.61536,2.36317,6.62321,10.8778,1885.21,2568.81,1.0022
"thetas[26,3]",7.46232,0.0537556,2.60078,2.52274,3.1361,7.47485,11.8438,2507.32,2952.38,1.00187
"thetas[26,4]",5.09723,0.0486905,2.6391,2.60675,0.714964,5.13082,9.44223,2966.82,2408.48,1.00021
"thetas[26,5]",4.44357,0.0570868,2.56384,2.57867,0.274084,4.41131,8.66683,2062.14,2716.21,1.0004
"thetas[26,6]",-0.863403,0.0506623,2.59714,2.60381,-5.16692,-0.858405,3.40178,2647.59,2763.27,1.00092
"thetas[26,7]",2.9328,0.0500718,2.63272,2.61775,-1.33484,2.98394,7.27017,2818.81,2922.42,1.0005
"thetas[26,8]",4.01665,0.0503389,2.58968,2.63133,-0.172702,4.02414,8.29573,2736.93,2844.32,1.00217
"thetas[26,9]",6.04554,0.0513823,2.62426,2.68507,1.65231,6.02538,10.381,2648.66,2407.61,1.00308
"thetas[26,10]",5.15398,0.0545953,2.64599,2.61666,0.789364,5.19642,9.45437,2326.95,2514.95,1.00403
"thetas[26,11]",3.86496,0.0577209,2.62437,2.60476,-0.46585,3.92118,8.13201,2104.22,2647.13,1.00272
"thetas[26,12]",2.42749,0.0585811,2.66264,2.68702,-1.89435,2.41983,6.77489,2097.68,2192.39,1.00273
"thetas[26,13]",-4.50584,0.0494693,2.58985,2.55668,-8.76784,-4.47427,-0.132791,2813.95,2699.81,1.00138
"thetas[26,14]",1.18032,0.0561818,2.6418,2.67622,-3.09863,1.15333,5.58249,2235.24,2516.32,1.00068
"thetas[26,15]",2.38213,0.0510055,2.6286,2.61614,-1.96898,2.36703,6.71711,2690.26,2944.19,1.00257
"thetas[26,16]",-0.5671,0.0553979,2.58313,2.61004,-4.73129,-0.579571,3.66801,2270.94,2991.9,1.00406
"thetas[26,17]",2.81269,0.0514077,2.56366,2.59736,-1.22686,2.74829,7.09017,2579.15,2863.92,1.00318
"thetas[26,18]",6.29038,0.0556234,2.58467,2.60622,1.93449,6.37946,10.4542,2258.02,2830.84,1.00222
"thetas[26,19]",2.07734,0.0532248,2.56907,2.53942,-2.29329,2.11496,6.25063,2382.69,2507.68,1.00276
"thetas[26,20]",0.459403,0.0582881,2.5631,2.59016,-3.77935,0.456433,4.58185,1959.08,2330.37,1.00304
"thetas[26,21]",-1.88359,0.0543002,2.59485,2.58945,-6.18814,-1.87889,2.37753,2322.21,2643.85,1.00137
"thetas[26,22]",2.04159,0.058273,2.56129,2.58113,-2.1495,2.04857,6.32621,1960.56,2774.02,1.00175
"thetas[26,23]",4.44381,0.0585017,2.5806,2.6564,0.225256,4.43993,8.55364,1992.2,2623.62,1.00109
"thetas[26,24]",2.22832,0.0532681,2.57179,2.51396,-1.96838,2.24094,6.42019,2436.82,2549.79,1.00229
"thetas[26,25]",5.7415,0.0481015,2.68573,2.78088,1.31662,5.7698,10.0417,3182.42,2950.6,1.00113
"thetas[27,1]",4.0149,0.0560822,2.92515,2.9377,-0.895794,4.00497,8.87782,2757.95,2833.32,1.00117
"thetas[27,2]",5.51185,0.0583833,2.63834,2.5998,1.04021,5.54128,9.8187,2088.25,2504.86,1.00034
"thetas[27,3]",2.79509,0.056367,2.65113,2.66793,-1.58179,2.79225,7.05054,2240.19,2319.11,1.00181
"thetas[27,4]",0.889873,0.0559382,2.65265,2.68031,-3.43693,0.906946,5.21088,2248.79,2716.21,1.00078
"thetas[27,5]",5.92258,0.05366,2.62425,2.6538,1.63209,5.90938,10.2044,2386.15,2325.03,1.00144
"thetas[27,6]",6.74979,0.0553797,2.60045,2.59596,2.47714,6.78658,11.0961,2226.0,2391.15,1.00127
"thetas[27,7]",4.07429,0.0537762,2.6348,2.63187,-0.278501,4.0567,8.43774,2523.19,2813.89,1.00212
"thetas[27,8]",5.80182,0.0498059,2.58965,2.5869,1.52761,5.79953,10.0903,2710.61,2789.58,1.00053
"thetas[27,9]",7.2407,0.0500268,2.66674,2.5866,2.77097,7.27821,11.5248,2847.14,2920.05,1.00071
"thetas[27,10]",4.17595,0.0574097,2.54817,2.52725,-0.0187538,4.18574,8.31731,1986.69,2601.51,1.00408
"thetas[27,11]",7.16131,0.0466857,2.55625,2.57465,2.94675,7.17318,11.3595,3006.52,3013.24,1.00251
"thetas[27,12]",4.75035,0.0514911,2.53896,2.51952,0.565297,4.73264,9.05961,2461.89,2998.91,1.003
"thetas[27,13]",1.30195,0.0586971,2.6188,2.65029,-2.9996,1.32724,5.69145,2014.02,2552.36,1.00312
"thetas[27,14]",0.661017,0.0569018,2.60391,2.66031,-3.53884,0.609112,4.89654,2168.27,2279.5,1.00302
"thetas[27,15]",2.88242,0.0557455,2.60661,2.58433,-1.37724,2.81599,7.20037,2258.69,2581.07,1.00232
"thetas[27,16]",5.6006,0.0521684,2.58377,2.56837,1.38848,5.60648,9.80171,2475.97,2562.67,1.00197
"thetas[27,17]",4.57942,0.0522287,2.58296,2.70188,0.340305,4.61366,8.70801,2455.67,2852.89,1.00134
"thetas[27,18]",4.97073,0.0526594,2.55273,2.48531,0.886603,4.91132,9.24966,2382.52,3131.17,1.00233
"thetas[27,19]",4.03219,0.0456486,2.60084,2.55491,-0.180717,4.01157,8.41457,3318.75,2822.98,1.00029
"thetas[27,20]",1.33336,0.0495257,2.63661,2.65344,-2.99487,1.31959,5.73469,2971.77,2622.57,1.00105
"thetas[27,21]",3.12241,0.0495355,2.62416,2.65861,-1.14626,3.13799,7.51152,2883.16,2715.57,1.00126
"thetas[27,22]",-0.999606,0.0517356,2.5748,2.57609,-5.20662,-1.01381,3.25408,2513.05,2846.75,1.00146
"thetas[27,23]",-0.955779,0.05148,2.52149,2.52863,-5.10315,-0.949396,3.1171,2469.55,2896.13,1.0018
"thetas[27,24]",-0.281506,0.0486312,2.52757,2.44195,-4.48995,-0.28773,4.07312,2757.63,2648.8,0.999885
"thetas[27,25]",1.31746,0.0447611,2.55804,2.56202,-2.87796,1.29791,5.50355,3310.41,2834.74,1.00085
"thetas[28,1]",-0.940007,0.0543932,2.83729,2.83423,-5.71345,-0.939779,3.59598,2962.16,3046.32,1.00302
"thetas[28,2]",4.06906,0.0549131,2.66631,2.60445,-0.433636,4.14138,8.35063,2382.06,2881.49,0.999996
"thetas[28,3]",1.29943,0.0562356,2.69781,2.6843,-3.09118,1.26811,5.82932,2312.1,2913.26,1.00055
"thetas[28,4]",-0.33343,0.0595101,2.58597,2.60546,-4.59913,-0.269921,3.87231,1928.45,2524.77,1.00095
"thetas[28,5]",-9.32006,0.0543315,2.62702,2.64904,-13.6437,-9.30309,-5.01943,2330.55,2525.81,1.00106
"thetas[28,6]",-10.1433,0.0501277,2.64272,2.63792,-14.4733,-10.1497,-5.65507,2818.44,2792.85,1.00138
"thetas[28,7]",-8.26296,0.0436096,2.54334,2.52018,-12.5639,-8.27473,-4.06316,3412.97,2788.18,1.0011
"thetas[28,8]",-8.36564,0.0441976,2.57837,2.59689,-12.5805,-8.38802,-4.13922,3444.0,2693.53,1.0011
"thetas[28,9]",-4.21817,0.0532648,2.52558,2.54136,-8.32706,-4.21218,-0.118081,2281.15,2794.85,1.00394
"thetas[28,10]",-0.590898,0.0540448,2.59881,2.58318,-4.88783,-0.531814,3.6675,2315.93,2576.41,1.00255
"thetas[28,11]",-1.36512,0.0546276,2.58005,2.57282,-5.64658,-1.33577,2.94984,2279.47,3062.39,1.00249
"thetas[28,12]",5.78644,0.0576561,2.57757,2.55511,1.42614,5.76633,10.1041,2050.04,2704.74,1.00114
"thetas[28,13]",7.4213,0.0527613,2.59337,2.58765,3.15703,7.40458,11.7067,2484.31,2616.85,1.00106
"thetas[28,14]",6.22782,0.0503374,2.67746,2.69063,1.83306,6.23123,10.6218,2848.2,2525.62,1.00085
"thetas[28,15]",-0.354184,0.0487508,2.55879,2.56011,-4.52023,-0.378881,3.84748,2835.92,2589.27,1.00017
"thetas[28,16]",-5.60387,0.0599621,2.63692,2.67029,-9.89486,-5.62983,-1.26638,2001.31,2881.74,1.00204
"thetas[28,17]",-7.36214,0.0612811,2.57436,2.57591,-11.5929,-7.34258,-3.0578,1807.31,2734.83,1.00269
"thetas[28,18]",-3.59569,0.0544084,2.57811,2.54018,-7.8326,-3.58501,0.630844,2271.13,2829.27,1.00144
"thetas[28,19]",-2.34826,0.0536936,2.58851,2.58155,-6.65685,-2.35327,1.92911,2356.67,2887.62,1.00142
"thetas[28,20]",6.13888,0.0566377,2.60709,2.61669,1.98315,6.12099,10.4786,2157.58,2786.58,1.00245
"thetas[28,21]",2.37222,0.0550934,2.5374,2.56607,-1.91804,2.38705,6.49623,2166.22,2934.89,1.00412
"thetas[28,22]",3.95595,0.0535694,2.4823,2.51204,-0.112693,3.92745,8.08051,2177.11,2467.59,1.00165
"thetas[28,23]",7.40197,0.0486066,2.596,2.59566,3.04618,7.35973,11.6132,2875.54,2484.27,1.00127
"thetas[28,24]",8.10677,0.0438758,2.49816,2.50091,4.0611,8.07433,12.2131,3284.28,3163.26,1.00116
"thetas[28,25]",0.743008,0.0488523,2.68595,2.68656,-3.67842,0.75561,5.26333,3092.78,2969.65,1.00083
"thetas[29,1]",-2.84556,0.0587846,2.85595,2.80869,-7.50904,-2.86309,1.8892,2415.94,2495.85,1.00061
"thetas[29,2]",-1.1755,0.0587888,2.61989,2.59478,-5.44196,-1.10089,3.11022,2021.06,2176.18,1.00487
"thetas[29,3]",-0.491232,0.0525754,2.57569,2.61161,-4.59624,-0.447455,3.69161,2450.2,3028.66,1.00162
"thetas[29,4]",1.73781,0.056563,2.59841,2.52565,-2.53374,1.74395,6.05191,2138.74,2568.8,1.00205
"thetas[29,5]",0.160982,0.054017,2.62177,2.55733,-4.13,0.145846,4.47306,2403.59,2586.36,1.00058
"thetas[29,6]",4.89766,0.0515468,2.69306,2.63193,0.454666,4.93813,9.33407,2744.55,2768.15,1.00167
"thetas[29,7]",-0.41031,0.0512342,2.60173,2.59795,-4.6205,-0.457611,4.02688,2693.09,2909.08,1.00147
"thetas[29,8]",0.914574,0.0503547,2.61758,2.58504,-3.39583,0.905291,5.26441,2733.18,2486.05,1.00283
"thetas[29,9]",-5.00204,0.0500624,2.58392,2.6591,-9.28634,-5.02358,-0.772874,2677.64,2789.42,1.00171
"thetas[29,10]",-6.88863,0.0474477,2.58954,2.55235,-11.0965,-6.9209,-2.67985,3019.72,2794.02,1.00153
"thetas[29,11]",-5.53806,0.0538073,2.60492,2.5962,-9.90454,-5.49742,-1.32135,2431.95,2722.77,1.00312
"thetas[29,12]",0.863471,0.05826,2.67008,2.66935,-3.48896,0.842299,5.23621,2129.82,2814.29,1.00223
