parameters,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"thetas[14,5]",9.23674,0.0490075,2.54489,2.58994,5.06497,9.17591,13.3924,2701.46,3135.4,1.00134
"thetas[14,6]",9.41414,0.049815,2.60428,2.63458,5.17333,9.45247,13.7573,2779.53,2960.7,1.00252
"thetas[14,7]",6.72629,0.0480973,2.5637,2.53889,2.50792,6.68427,10.8938,2879.39,2335.01,1.00149
"thetas[14,8]",9.30723,0.0466497,2.61753,2.61294,5.05095,9.26884,13.5488,3197.74,2362.95,1.00149
"thetas[14,9]",6.32953,0.0476346,2.5166,2.55068,2.18745,6.34449,10.458,2833.2,2855.56,1.0006
"thetas[14,10]",4.80108,0.0495107,2.60703,2.6372,0.554385,4.75777,9.14246,2808.87,3264.95,1.00283
"thetas[14,11]",1.07881,0.0480548,2.62944,2.66103,-3.26811,1.09265,5.41855,3038.3,2811.08,1.00193
"thetas[14,12]",-6.69628,0.0516216,2.57496,2.566,-10.882,-6.73834,-2.42726,2526.97,2604.97,1.00122
"thetas[14,13]",-3.21737,0.0521157,2.62903,2.59044,-7.71276,-3.1426,1.04999,2599.3,3005.79,1.00131
"thetas[14,14]",1.23035,0.0558465,2.64736,2.59744,-3.05157,1.21069,5.58701,2285.47,2753.76,1.00048
"thetas[14,15]",2.07156,0.0527094,2.67165,2.65291,-2.2764,2.06233,6.42924,2632.33,2700.63,1.00087
"thetas[14,16]",-2.7962,0.054834,2.61866,2.59635,-7.13443,-2.77376,1.43348,2305.59,2355.64,1.00104
"thetas[14,17]",-1.41682,0.047684,2.56223,2.57169,-5.58577,-1.39565,2.87789,2900.01,3106.43,1.00061
"thetas[14,18]",-5.39637,0.0498303,2.58477,2.60615,-9.71477,-5.40047,-1.17293,2721.93,2840.5,1.00246
"thetas[14,19]",0.807452,0.0458262,2.57807,2.59585,-3.36293,0.791749,4.96568,3307.18,3054.28,1.00078
"thetas[14,20]",-0.151886,0.0487193,2.59588,2.54795,-4.50081,-0.142162,4.07889,2870.62,2613.73,1.00029
"thetas[14,21]",2.25562,0.0519979,2.57227,2.53529,-1.96719,2.26384,6.52089,2505.08,3106.28,1.00112
"thetas[14,22]",1.91807,0.0539506,2.54065,2.47161,-2.2238,1.89799,6.02106,2300.04,2379.91,1.00305
"thetas[14,23]",-5.09044,0.0535515,2.54647,2.60597,-9.26719,-5.09323,-0.953019,2310.97,2486.08,1.00246
"thetas[14,24]",-2.83909,0.0532572,2.48698,2.49195,-6.90972,-2.79263,1.35609,2239.67,2538.84,1.00341
"thetas[14,25]",-2.88476,0.0542702,2.64464,2.68108,-7.16073,-2.91721,1.49284,2408.2,2857.23,1.0028
"thetas[15,1]",1.11459,0.0576672,2.84155,2.87361,-3.46984,1.12931,5.71839,2511.34,3115.18,1.00188
"thetas[15,2]",0.449141,0.0551635,2.66103,2.66728,-3.92729,0.499417,4.76867,2355.54,2562.16,1.00269
"thetas[15,3]",0.143241,0.0583582,2.67513,2.68597,-4.22799,0.139472,4.55628,2132.49,2385.57,1.00027
"thetas[15,4]",-1.11171,0.053766,2.61873,2.57057,-5.42516,-1.11776,3.24106,2427.61,3121.1,1.00174
"thetas[15,5]",0.629486,0.0510864,2.55428,2.62256,-3.55321,0.616413,4.84396,2550.79,2635.68,1.00028
"thetas[15,6]",4.1792,0.0561968,2.59597,2.65788,0.0153357,4.17341,8.54618,2218.8,2874.55,1.00176
"thetas[15,7]",5.79041,0.0528102,2.63636,2.62143,1.44317,5.84457,10.1462,2540.74,2624.33,1.00018
"thetas[15,8]",4.67555,0.0469873,2.56637,2.60219,0.451377,4.68943,8.85659,2997.89,2932.87,1.00159
"thetas[15,9]",-1.62384,0.0483793,2.54038,2.57401,-5.69953,-1.62456,2.62482,2855.41,2748.74,1.00123
"thetas[15,10]",-4.75363,0.0518357,2.61469,2.62385,-9.02265,-4.76548,-0.375477,2565.87,2662.22,1.00174
"thetas[15,11]",-4.83114,0.054809,2.61584,2.66152,-9.02526,-4.84144,-0.50035,2316.8,2617.71,1.00359
"thetas[15,12]",-5.97355,0.0525084,2.62809,2.51994,-10.4866,-5.93965,-1.69613,2505.45,2719.79,1.00358
"thetas[15,13]",-10.2366,0.052584,2.58482,2.60157,-14.5,-10.2438,-6.11098,2436.37,3028.14,1.00325
"thetas[15,14]",-10.8212,0.0537442,2.59641,2.59142,-15.0367,-10.8693,-6.51714,2453.33,2826.04,1.00263
"thetas[15,15]",-9.36143,0.0520358,2.60712,2.57912,-13.7122,-9.38339,-5.15109,2568.6,2461.28,1.00166
"thetas[15,16]",-5.69979,0.0546863,2.62394,2.65632,-9.97869,-5.74116,-1.3667,2299.82,2711.4,1.001
"thetas[15,17]",-3.50995,0.0559347,2.59808,2.55513,-7.84132,-3.47667,0.736045,2146.66,2530.99,1.00103
"thetas[15,18]",2.90847,0.0516004,2.53601,2.55359,-1.2236,2.87434,7.10681,2438.13,2780.48,1.00238
